cluster_id,ward,area_m2,d_toilet,n_toilet,d_health,n_health,d_school,n_school,d_school_municipal,n_school_municipal,d_park,n_park,d_fire,n_fire,d_police,n_police,d_bus,n_bus,d_rail,n_rail,d_funeral,n_funeral,toilet_seats,toilet_seats_f
312,L,41798.87496339811,0.0,3,0.0,6,20.224979618623653,0,20.224979618623653,0,52.79322917695018,0,473.11827163734074,0,1664.6231130763656,0,117.32435542282882,0,910.387841493739,0,526.237529845749,0,26.0,13.0
313,L,72210.19464470254,0.0,13,168.07807415257824,0,0.0,4,0.0,4,26.90857169781635,0,1352.6517911604828,0,1971.8785178518804,0,0.585480131291117,0,2132.8476103500757,0,877.2012589958707,0,75.0,39.0
314,S,4979.3415002612555,103.78587797087312,0,902.9682147548319,0,45.87049876441142,0,218.96831642454273,0,88.79523195305956,0,2435.8108729163746,0,645.6262649748058,0,89.25331823246438,0,877.3342472823814,0,581.1648216831246,0,0.0,0.0
315,S,10731.447509012989,0.0,1,1063.1400437955829,0,3.4732101079400413,0,3.4732101079400413,0,446.4897037867648,0,4160.404558989803,0,1519.415244149795,0,0.0,2,1108.7124883388678,0,971.1621603201146,0,12.0,6.0
316,S,3548.134853052474,84.89883745508153,0,515.997270496512,0,24.08724941708902,0,69.32871077767473,0,249.72478255575504,0,3494.6901892021415,0,764.5485088200214,0,69.33228936891716,0,154.30461324124852,0,962.0917919756764,0,0.0,0.0
317,S,2390.4190745279143,100.51979277313077,0,247.14907375321587,0,284.48808240722644,0,879.0497830959729,0,120.69835570254862,0,3357.0219478512404,0,545.6236385111127,0,143.63647191111042,0,1557.8238566505697,0,505.65777075465996,0,0.0,0.0
318,S,3730.2610814568147,0.0,2,167.05401920922884,0,128.35341905710007,0,765.9314594180263,0,141.1633172370357,0,3259.3401399375093,0,471.5545082199703,0,156.53411009677725,0,1618.05109472404,0,484.43805994844644,0,14.0,7.0
319,S,2749.692918429601,155.12618288905614,0,504.68303286766206,0,168.7881882340932,0,179.44923023996844,0,28.834663321558576,0,2729.598343733072,0,267.7201839048243,0,182.4451020823626,0,1097.0093939513124,0,195.15757152721037,0,0.0,0.0
320,S,2710.4830558373624,136.95502988279833,0,876.4827429050107,0,72.97945788691172,0,196.19563391014472,0,92.46550652474794,0,2458.8223079494287,0,616.6859375381673,0,62.57868357610345,0,890.7794955140763,0,555.4995054539852,0,0.0,0.0
321,S,4694.450956949965,14.688121938461979,0,788.2792434154368,0,23.09674470557357,0,184.8374572246413,0,16.500907619105913,0,2246.021099155403,0,494.57693991797424,0,111.81017349966531,0,649.5360633265154,0,546.7870976069007,0,0.0,0.0
322,S,2283.1952758518596,49.8701322292411,0,737.0581582981553,0,243.28564576429545,0,250.93483468116284,0,140.63911830781396,0,2462.7982704462206,0,457.44369951642307,0,83.0947469177118,0,870.9939364483351,0,476.6086927211349,0,0.0,0.0
323,S,2464.838836797811,59.23384765688834,0,688.7700154913418,0,208.66430642114548,0,245.92322085336272,0,140.9711698779262,0,2490.369350353814,0,408.84611124723335,0,110.60647336079717,0,895.5710312643722,0,436.2147640260033,0,0.0,0.0
324,S,1265.4758451723271,133.22471687752375,0,617.8340187522472,0,169.86119062501422,0,265.5765254649649,0,76.34201518196184,0,2543.226310587916,0,335.29043459070385,0,192.92291708014935,0,946.183254381526,0,384.847749248357,0,0.0,0.0
325,S,530.5418029844094,6.117095036773478,0,794.8536790199532,0,77.16334025132217,0,77.16334025132217,0,120.76680548898292,0,2717.1980236113614,0,586.0496462869971,0,186.50801531099907,0,834.4040647345846,0,445.2886035095239,0,0.0,0.0
326,S,15908.924309234519,0.0,1,384.7975417153089,0,152.10737629065184,0,152.10737629065184,0,83.65732595042773,0,2541.0855344584534,0,356.9449226562367,0,24.25663615306134,0,1149.3673994639066,0,516.3013490765952,0,8.0,4.0
327,S,12594.819705881426,0.0,3,485.8503646028083,0,0.0,1,571.830443396914,0,292.09079971384284,0,3562.9014341878283,0,1146.6471084940983,0,217.27833656894418,0,1227.8581087823916,0,358.2764289097693,0,14.0,7.0
328,S,1938.1813434850578,15.294727348670017,0,639.207571007312,0,143.8091625276311,0,514.8654516909617,0,330.44450614341736,0,3732.464931206081,0,1262.6551230999314,0,241.12133452372365,0,1249.3174826613392,0,518.5077232864289,0,0.0,0.0
329,S,771.8831057994167,34.0178625488383,0,299.24074347916155,0,33.685549470402826,0,292.3588110531864,0,409.36446944292777,0,1659.5377898306504,0,1303.1562924801678,0,308.259465649937,0,1650.8874856996486,0,489.07486124813965,0,0.0,0.0
330,S,2568.0296850008904,8.864510868486104,0,537.6852494013722,0,41.41905019938248,0,142.39436396709465,0,480.0022030647429,0,2631.542905756516,0,1982.0587025490331,0,152.26927081821182,0,993.2996144511918,0,166.32625964618322,0,0.0,0.0
331,S,31203.00452953302,0.0,13,764.6282486808154,0,3.724326722438337,0,118.67985158916862,0,275.30856570842025,0,3863.720495717743,0,1253.4796368896696,0,14.892429473719595,0,987.3547132219996,0,671.124955082852,0,71.0,45.0
332,S,16908.87756977922,0.0,15,551.3720707847856,0,16.678067847845604,0,366.0319450127308,0,98.85650923580879,0,3654.585195248491,0,1082.9708755243696,0,6.85641132490435,0,1016.200812389517,0,463.37663863655246,0,85.0,54.0
333,S,2190.244497793718,98.61315751082742,0,656.151087482373,0,62.63557543665415,0,127.7166824156729,0,351.2465953036398,0,2727.6736786281176,0,2033.8574192893316,0,66.38708746054533,0,1073.5412279516115,0,236.1947839447911,0,0.0,0.0
334,S,2681.5712515487894,154.0696631240895,0,621.1636487573687,0,81.08672353190197,0,81.08672353190197,0,46.88107876521363,0,2665.712278576181,0,378.0426705185462,0,143.60588868070013,0,1017.0665729519457,0,299.09671637162086,0,0.0,0.0
335,S,3711.6536462095746,155.1209811847268,0,574.3043413451375,0,60.39555307408541,0,98.5466204991964,0,54.23495874034869,0,2755.555293235719,0,366.772798797675,0,221.45698955493026,0,975.090608484737,0,234.6101070948604,0,0.0,0.0
336,S,7103.405997819644,32.56218831385726,0,434.63997356748433,0,93.88376542645629,0,198.53920955238877,0,86.0430110788003,0,2818.2413313972415,0,262.70708492676636,0,114.70343166430908,0,1054.2947176912414,0,91.52404134071077,0,0.0,0.0
337,S,4376.420224206763,213.26358512212303,0,466.5209686447353,0,231.056962477757,0,235.29425995398188,0,59.80636598726528,0,2662.5392352967006,0,221.530423448577,0,158.5556104337283,0,1065.6769753927922,0,220.67452372265046,0,0.0,0.0
338,S,4467.361401325335,114.98166258428476,0,717.8363565511378,0,101.95357518634134,0,101.95357518634134,0,143.45766991790865,0,2535.539763119978,0,457.669528334701,0,43.55758095698812,0,947.208882199694,0,402.6388165910596,0,0.0,0.0
339,S,2758.0061651594224,135.339011349338,0,456.21789906512385,0,183.27945837651723,0,223.69372372882665,0,75.73445816585334,0,2756.995542569291,0,227.64395946073665,0,133.6185990969753,0,1130.230442140263,0,156.08764952707867,0,0.0,0.0
340,S,2789.0920823687675,43.122201136828394,0,712.3279463953801,0,101.05265184233275,0,414.4086534756501,0,254.5312898963933,0,1439.0672094592862,0,716.9040252388655,0,64.09363668980896,0,84.70560963308519,0,112.07105109272618,0,0.0,0.0
341,S,37009.285672231585,0.0,17,970.9384145137751,0,0.0,1,0.0,1,78.8116077054167,0,1742.2652689744375,0,860.295852282399,0,225.98317423142433,0,159.12079493041864,0,336.88794122980437,0,184.0,107.0
