ward,n,area_ha,area_median_ha,area_max_ha,n_in_use,n_municipal,borough,electors,area_km2,has_polygon,n_disused,n_per_km2,area_pct_of_ward,n_per_10k_electors,disused_share,municipal_share
95,3,0.58,0.22,0.26,2,1,X,26121,1.0082195518753627,True,1,2.975542375090603,0.5752715258508498,1.1485012059262663,0.3333333333333333,0.3333333333333333
96,15,2.57,0.09,0.59,14,14,X,27258,1.1268172331609227,True,1,13.31183048906905,2.280760290460497,5.50297160466652,0.06666666666666667,0.9333333333333333
97,2,0.14,0.07,0.08,2,1,X,33221,1.9338988599532427,True,0,1.0341802466589982,0.07239261726612989,0.602028837181301,0.0,0.5
98,8,1.56,0.11499999999999999,0.64,8,4,X,27980,1.1612843637776256,True,0,6.888924237278304,1.3433402262692693,2.8591851322373123,0.0,0.5
99,21,3.2,0.08,1.15,17,21,X,23172,0.9102607277255924,True,4,23.070313109598054,3.515476283367323,9.062661833247022,0.19047619047619047,1.0
100,23,3.1,0.08,0.51,12,15,X,25702,1.4057042681945948,True,11,16.361905217474987,2.205300268442281,8.94871994397323,0.4782608695652174,0.6521739130434783
101,30,6.36,0.1,1.45,18,29,XII,36657,1.6763448321535264,True,12,17.896079269955646,3.7939688052305973,8.183975775431705,0.4,0.9666666666666667
102,34,3.23,0.07500000000000001,0.47,21,28,XII,18045,0.9853418307023192,True,13,34.50579173703193,3.278050215018034,18.84178442781934,0.38235294117647056,0.8235294117647058
103,7,1.86,0.24,0.56,7,0,XI,25694,0.9543072629620426,True,0,7.33516370636532,1.9490577848342137,2.724371448587219,0.0,0.0
104,14,1.94,0.09,0.46,14,0,XI,29960,1.188626940284475,True,0,11.778296053637629,1.6321353102897855,4.672897196261682,0.0,0.0
105,25,9.120000000000001,0.27,1.18,22,0,XII,19924,0.6674313890089728,True,3,37.45703365423214,13.664325877063888,12.547681188516362,0.12,0.0
106,34,2.93,0.05,0.53,31,0,XII,27162,1.9112177020013303,True,3,17.78970546599528,1.5330540298637108,12.517487666593034,0.08823529411764706,0.0
107,29,6.96,0.2,0.8,22,1,XII,35986,2.700010891745512,True,7,10.740697412984133,2.5777673791161915,8.058689490357361,0.2413793103448276,0.034482758620689655
108,453,396.33,0.21,27.64,300,6,XII,33196,11.94315946300599,True,153,37.929661862354784,33.18468628235557,136.46222436438126,0.33774834437086093,0.013245033112582781
109,97,48.85,0.2,13.58,89,17,XII,37416,7.095093579516272,True,8,13.671419398898648,6.885039563259783,25.92473807996579,0.08247422680412371,0.17525773195876287
110,31,15.74,0.32,2.7,17,0,XI,17026,1.7508926883822673,True,14,17.70525412876238,8.98969999957161,18.20744743333725,0.45161290322580644,0.0
111,64,11.6,0.07,1.89,30,5,XI,29941,2.4258357264500017,True,34,26.38266033523152,4.781857185760713,21.375371564076016,0.53125,0.078125
112,20,2.3,0.08499999999999999,0.44,11,16,XI,26969,1.6088568751186563,True,9,12.431186583035835,1.429586457049121,7.415921984500723,0.45,0.8
113,42,4.04,0.07500000000000001,0.55,29,0,XI,26757,1.65178947662506,True,13,25.426969110987734,2.4458322668664394,15.696826998542438,0.30952380952380953,0.0
114,69,11.44,0.07,2.4,46,0,XI,30145,2.307726168711552,True,23,29.899561280498038,4.957260594911558,22.889368054403715,0.3333333333333333,0.0
115,37,6.51,0.09,1.91,25,0,XIII,27793,1.4727589635113354,True,12,25.122916184319134,4.420275252970744,13.312704637858454,0.32432432432432434,0.0
116,19,5.04,0.15,1.28,18,2,XIII,21207,1.221977554610195,True,1,15.548567097912784,4.124462009130549,8.959305889564765,0.05263157894736842,0.10526315789473684
117,5,4.42,0.1,4.02,4,2,XIII,20420,0.7315233327786768,True,1,6.835051974360955,6.042185945335084,2.4485798237022527,0.2,0.4
118,8,0.65,0.05,0.2,6,6,XIII,24285,0.8480864750285486,True,2,9.433000331399816,0.766431276926235,3.294214535721639,0.25,0.75
119,8,1.03,0.095,0.37,4,1,XIII,12803,0.6286670953985781,True,4,12.725335966451306,1.6383870056806056,6.248535499492307,0.5,0.125
120,10,5.26,0.425,1.59,10,4,XIII,18508,0.6948124950100453,True,0,14.392372146179415,7.570387748890372,5.403068943159715,0.0,0.4
121,23,4.4,0.11,0.89,20,0,XIV,26076,1.4760217776231108,True,3,15.582425915854508,2.9809858273808625,8.82037122258015,0.13043478260869565,0.0
122,99,20.17,0.07,3.12,75,0,XIII,37168,3.1560113328627395,True,24,31.368708651055304,6.390978318098844,26.635815755488593,0.24242424242424243,0.0
123,73,5.72,0.07,0.42,59,0,XVI,31348,1.8947742366729674,True,14,38.527017407720635,3.018829309207699,23.286972055633534,0.1917808219178082,0.0
124,94,8.88,0.07,0.67,79,0,XVI,35478,2.5464769259633724,True,15,36.91374504186341,3.487170808210075,26.49529285754552,0.1595744680851064,0.0
125,176,16.93,0.06,0.82,140,0,XVI,39040,2.8814063105033934,True,36,61.081284981725496,5.875603151935299,45.08196721311475,0.20454545454545456,0.0
126,106,16.19,0.07500000000000001,1.01,77,0,XVI,29355,2.959264719148393,True,29,35.819708630360154,5.470953610618216,36.10969170499063,0.27358490566037735,0.0
127,173,21.54,0.05,2.23,85,0,XIV,40196,3.4237934613860928,True,88,50.52874887200774,6.291267345104315,43.03910836899194,0.5086705202312138,0.0
128,55,5.64,0.07,0.61,35,0,XIV,30435,1.8374058726490028,True,20,29.93350615599484,3.0695449949056526,18.071299490717923,0.36363636363636365,0.0
129,43,4.87,0.06,0.69,20,0,XIV,37134,2.1122569416630057,True,23,20.357371848022225,2.305590718601587,11.579684386276728,0.5348837209302325,0.0
130,10,1.35,0.1,0.27,7,0,XIV,22169,1.0374343962974664,True,3,9.639163725137058,1.301287102893503,4.510803374080924,0.3,0.0
131,19,3.0,0.1,0.66,15,4,XIV,29120,1.411919600853407,True,4,13.456856883717617,2.1247668763764658,6.524725274725275,0.21052631578947367,0.21052631578947367
132,10,3.2199999999999993,0.07500000000000001,2.01,9,0,XIV,22573,0.9167122885218041,True,1,10.908547998331048,3.512552455462597,4.430071324148319,0.1,0.0
133,6,0.6799999999999999,0.07500000000000001,0.32,5,0,XV,17396,0.5083483383776884,True,1,11.802930288211485,1.3376654326639683,3.449068751437112,0.16666666666666666,0.0
134,0,0.0,,,0,0,XV,26472,0.3819964273599596,True,0,0.0,0.0,0.0,,
